category,link,image,title,price prefix,price
强力胶,//item.jd.com/5143613.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)502强力胶 快干无色胶水 8g/支 10瓶装 办公用品 7144,折扣价：￥,17.50
强力胶,//item.jd.com/385946.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)8g502强力胶水 快速粘合无色胶水 1支装 办公用品 7144,折扣价：￥,2.00
强力胶,//item.jd.com/2295867.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)502强力胶水 快速粘合无色胶水 8支装 办公用品 7146,折扣价：￥,9.90
强力胶,//item.jd.com/7088838.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)瞬干强力胶水 适用塑料橡胶金属等材料 10g,折扣价：￥,3.90
强力胶,//item.jd.com/6410903.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)75g无痕免钉胶贴(可粘金属陶瓷) 白色53442,折扣价：￥,6.20
强力胶,//item.jd.com/6679102.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)强力补鞋胶水 PU鞋胶 30ml,折扣价：￥,8.00
固体胶,//item.jd.com/680745.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)21g高粘度PVA固体胶水/胶棒 12支/盒 办公用品 7102,折扣价：￥,12.50
固体胶,//item.jd.com/4682018.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)36g高粘度PVP固体胶水 无甲醛快干耐用胶棒 12支装 办公用品 7093,折扣价：￥,25.00
固体胶,//item.jd.com/277374.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)36g高粘度PVA固体胶水/胶棒 12支/盒 办公用品 7103,折扣价：￥,22.00
固体胶,//item.jd.com/3992581.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)20g高粘度PVP固体胶水 无甲醛快干耐用胶棒 12支装 办公用品 7092,折扣价：￥,19.00
固体胶,//item.jd.com/1562264.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)15g高粘度PVP固体胶水/胶棒 无甲醛配方 12支装 办公用品 7090,折扣价：￥,19.00
固体胶,//item.jd.com/1851630.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)20g高粘度PVP固体胶水 无甲醛快干耐用胶棒 6支装 办公用品 6371,折扣价：￥,9.90
固体胶,//item.jd.com/569194.html,//img14.360buyimg.com/cms/g10/M00/13/04/rBEQWFFj4PUIAAAAAAAESxyqJLUAADvdAIHC9oAAARj186.gif,得力(deli)20g高粘度PVP固体胶水 无甲醛快干耐用胶棒 单支装 办公用品 7092,折扣价：￥,3.00
